"Time (s) Run #18","Angle, 670-231 (rad) Run #18"
25.850,-6.541
25.900,-6.547
25.950,-6.550
26.000,-6.550
26.050,-6.553
26.100,-6.553
26.150,-6.553
26.200,-6.557
26.250,-6.557
26.300,-6.560
26.350,-6.563
26.400,-6.569
26.450,-6.578
26.500,-6.585
26.550,-6.591
26.600,-6.600
26.650,-6.607
26.700,-6.613
26.750,-6.616
26.800,-6.619
26.850,-6.619
26.900,-6.619
26.950,-6.622
27.000,-6.622
27.050,-6.622
27.100,-6.622
27.150,-6.626
27.200,-6.629
27.250,-6.632
27.300,-6.635
27.350,-6.638
27.400,-6.641
27.450,-6.644
27.500,-6.644
27.550,-6.644
27.600,-6.644
27.650,-6.644
27.700,-6.644
27.750,-6.644
27.800,-6.641
27.850,-6.641
27.900,-6.641
27.950,-6.644
28.000,-6.644
28.050,-6.644
28.100,-6.644
28.150,-6.644
28.200,-6.641
28.250,-6.641
28.300,-6.638
28.350,-6.635
28.400,-6.635
28.450,-6.632
28.500,-6.629
28.550,-6.629
28.600,-6.629
28.650,-6.626
28.700,-6.622
28.750,-6.622
28.800,-6.619
28.850,-6.616
28.900,-6.613
28.950,-6.610
29.000,-6.607
29.050,-6.604
29.100,-6.600
29.150,-6.597
29.200,-6.594
29.250,-6.591
29.300,-6.588
29.350,-6.585
29.400,-6.582
29.450,-6.578
29.500,-6.575
29.550,-6.569
29.600,-6.566
29.650,-6.563
29.700,-6.560
29.750,-6.553
29.800,-6.550
29.850,-6.547
29.900,-6.544
29.950,-6.538
30.000,-6.531
30.050,-6.528
30.100,-6.525
30.150,-6.519
30.200,-6.516
30.250,-6.509
30.300,-6.506
30.350,-6.500
30.400,-6.497
30.450,-6.491
30.500,-6.487
30.550,-6.481
30.600,-6.478
30.650,-6.472
30.700,-6.465
30.750,-6.462
30.800,-6.456
30.850,-6.453
30.900,-6.447
30.950,-6.440
31.000,-6.431
31.050,-6.415
31.100,-6.406
31.150,-6.403
31.200,-6.403
31.250,-6.403
31.300,-6.406
31.350,-6.415
31.400,-6.421
31.450,-6.428
31.500,-6.437
31.550,-6.447
31.600,-6.453
31.650,-6.459
31.700,-6.465
31.750,-6.472
31.800,-6.478
31.850,-6.506
31.900,-6.497
31.950,-6.497
32.000,-6.528
32.050,-6.541
32.100,-6.541
32.150,-6.544
32.200,-6.550
32.250,-6.553
32.300,-6.553
32.350,-6.557
32.400,-6.560
32.450,-6.560
32.500,-6.563
32.550,-6.563
32.600,-6.563
32.650,-6.563
32.700,-6.563
32.750,-6.563
32.800,-6.566
32.850,-6.569
32.900,-6.572
32.950,-6.572
33.000,-6.575
33.050,-6.575
33.100,-6.578
33.150,-6.578
33.200,-6.578
33.250,-6.578
33.300,-6.578
33.350,-6.578
33.400,-6.578
33.450,-6.578
33.500,-6.578
33.550,-6.578
33.600,-6.578
33.650,-6.578
33.700,-6.578
33.750,-6.575
33.800,-6.575
33.850,-6.575
33.900,-6.572
33.950,-6.569
34.000,-6.569
34.050,-6.566
34.100,-6.566
