Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
355	900	12	1	4/9/25 14:59						
356	900	22	1	4/9/25 14:59						
357	900	19	1	4/9/25 14:59						
358	900	13	1	4/9/25 14:59						
359	900	14	1	4/9/25 14:59						
360	900	18	1	4/9/25 14:59						
361	900	19	1	4/9/25 14:59						
362	900	12	1	4/9/25 14:59						
363	900	10	1	4/9/25 14:59						
364	900	15	1	4/9/25 14:59						
365	900	21	1	4/9/25 14:59						
366	900	23	1	4/9/25 14:59						
367	900	14	1	4/9/25 14:59						
368	900	11	1	4/9/25 14:59						
369	900	15	1	4/9/25 14:59						
370	900	9	1	4/9/25 14:59						
371	900	18	1	4/9/25 14:59						
372	900	12	1	4/9/25 14:59						
373	900	15	1	4/9/25 14:59						
374	900	10	1	4/9/25 14:59						
375	900	12	1	4/9/25 14:59						
376	900	12	1	4/9/25 14:59						
377	900	9	1	4/9/25 14:59						
378	900	10	1	4/9/25 14:59						
379	900	11	1	4/9/25 14:59						
380	900	11	1	4/9/25 14:59						
381	900	15	1	4/9/25 14:59						
382	900	16	1	4/9/25 14:59						
383	900	15	1	4/9/25 14:59						
384	900	21	1	4/9/25 14:59						
385	900	18	1	4/9/25 14:59						
386	900	13	1	4/9/25 14:59						
387	900	18	1	4/9/25 14:59						
388	900	9	1	4/9/25 15:00						
389	900	17	1	4/9/25 15:00						
390	900	16	1	4/9/25 15:00						
391	900	11	1	4/9/25 15:00						
392	900	16	1	4/9/25 15:00						
393	900	16	1	4/9/25 15:00						
394	900	17	1	4/9/25 15:00						
395	900	10	1	4/9/25 15:00						
396	900	15	1	4/9/25 15:00						
397	900	16	1	4/9/25 15:00						
398	900	13	1	4/9/25 15:00						
399	900	16	1	4/9/25 15:00						
400	900	15	1	4/9/25 15:00						
401	900	8	1	4/9/25 15:00						
402	900	16	1	4/9/25 15:00						
403	900	16	1	4/9/25 15:00						
404	900	11	1	4/9/25 15:00						
405	900	14	1	4/9/25 15:00						
406	900	17	1	4/9/25 15:00						
407	900	14	1	4/9/25 15:00						
408	900	11	1	4/9/25 15:00						
409	900	18	1	4/9/25 15:00						
410	900	12	1	4/9/25 15:00						
411	900	22	1	4/9/25 15:00						
412	900	13	1	4/9/25 15:00						
413	900	17	1	4/9/25 15:00						
414	900	13	1	4/9/25 15:00						
415	900	13	1	4/9/25 15:00						
416	900	12	1	4/9/25 15:00						
417	900	8	1	4/9/25 15:00						
418	900	14	1	4/9/25 15:00						
419	900	11	1	4/9/25 15:00						
420	900	11	1	4/9/25 15:00						
421	900	9	1	4/9/25 15:00						
422	900	11	1	4/9/25 15:00						
423	900	12	1	4/9/25 15:00						
424	900	8	1	4/9/25 15:00						
425	900	11	1	4/9/25 15:00						
426	900	9	1	4/9/25 15:00						
427	900	19	1	4/9/25 15:00						
428	900	12	1	4/9/25 15:00						
429	900	18	1	4/9/25 15:00						
430	900	15	1	4/9/25 15:00						
431	900	10	1	4/9/25 15:00						
432	900	21	1	4/9/25 15:00						
433	900	13	1	4/9/25 15:00						
434	900	11	1	4/9/25 15:00						
435	900	12	1	4/9/25 15:00						
436	900	22	1	4/9/25 15:00						
437	900	18	1	4/9/25 15:00						
438	900	13	1	4/9/25 15:00						
439	900	19	1	4/9/25 15:00						
440	900	12	1	4/9/25 15:01						
441	900	14	1	4/9/25 15:01						
442	900	18	1	4/9/25 15:01						
443	900	8	1	4/9/25 15:01						
444	900	14	1	4/9/25 15:01						
445	900	13	1	4/9/25 15:01						
446	900	8	1	4/9/25 15:01						
447	900	19	1	4/9/25 15:01						
448	900	8	1	4/9/25 15:01						
449	900	14	1	4/9/25 15:01						
450	900	9	1	4/9/25 15:01						
451	900	14	1	4/9/25 15:01						
452	900	8	1	4/9/25 15:01						
453	900	11	1	4/9/25 15:01						
454	900	14	1	4/9/25 15:01						
455	900	21	1	4/9/25 15:01						
456	900	18	1	4/9/25 15:01						
457	900	22	1	4/9/25 15:01						
458	900	17	1	4/9/25 15:01						
459	900	12	1	4/9/25 15:01						
460	900	15	1	4/9/25 15:01						
